Metriken;Kos-IB;Kos-UB;MSD-IB;MSD-UB;PR-IB;PR-UB;;Mittelwert IB;Mittelwert UB;;Mittelwert IB;Mittelwert UB
RMSE;0,9952;0,994;0,9959;0,9944;0,9967;0,9942;;0,995933333;0,9942;;0,9959;0,9942
MAE;0,7746;0,7679;0,7751;0,7679;0,7755;0,768;;0,775066667;0,767933333;;0,7751;0,7679
MSE;0,9905;0,9881;0,9919;0,989;0,9934;0,9885;;0,991933333;0,988533333;;0,9919;0,9885
FCP;0,4541;0,6527;0,451;0,6531;0,4538;0,652;;0,452966667;0,6526;;0,4530;0,6526
FT;6,36;0,24;6,57;0,25;7,21;0,24;;6,713333333;0,243333333;;6,7133;0,2433
TT;8,17;1,67;6,95;1,96;8,09;1,74;;7,736666667;1,79;;7,7367;1,7900
